pais,Afganistán, Afgano,,,
pais,Albania, Albanés,,,
pais,Alemania, Alemán,,,
pais,Andorra, Andorrano,,,
pais,Angola, Angoleño Angolano,,,
pais,Antigua y Barbuda, Antiguano,,,
pais,Arabia Saudita, Saudí o saudita,,,
pais,Argelia, Argelino,,,
pais,Argentina, Argentino,,,
pais,Armenia, Armenio,,,
pais,Australia, Australiano,,,
pais,Austria, Austriaco Austríaco,,,
pais,Azerbaiyán, Azerbaiyano,,,
pais,Bahamas, Bahameño,,,
pais,Bangladés, Bangladesí,,,
pais,Barbados, Barbadense,,,
pais,Baréin, Bareiní,,,
pais,Bélgica, Belga,,,
pais,Belice, Beliceño,,,
pais,Benín, Beninés,,,
pais,Bielorrusia, Bielorruso,,,
pais,Birmania, Birmano,,,
pais,Bolivia, Boliviano,,,
pais,Bosnia y Herzegovina, Bosnio Bosnioherzegovino,,,
pais,Botsuana, Botsuano,,,
pais,Brasil, Brasileño Brasilero,,,
pais,Brunéi, Bruneano,,,
pais,Bulgaria, Búlgaro,,,
pais,Burkina Faso, Burkinés,,,
pais,Burundi, Burundés,,,
pais,Bután, Butanés,,,
pais,Cabo Verde, Caboverdiano,,,
pais,Camboya, Camboyano,,,
pais,Camerún, Camerunés,,,
pais,Canadá, Canadiense,,,
pais,Catar, Catarí,,,
pais,Chad, Chadiano,,,
pais,Chile, Chileno,,,
pais,China, Chino,,,
pais,Chipre, Chipriota,,,
pais,Ciudad del Vaticano, Vaticano,,,
pais,Colombia, Colombiano,,,
pais,Comoras, Comorense,,,
pais,Corea del Norte, Norcoreano,,,
pais,Corea del Sur, Surcoreano,,,
pais,Costa de Marfil, Marfileño,,,
pais,Costa Rica, Costarricense,,,
pais,Croacia, Croata,,,
pais,Cuba, Cubano,,,
pais,Dinamarca, Danés,,,
pais,Dominica, Dominiqués,,,
pais,Ecuador, Ecuatoriano,,,
pais,Egipto, Egipcio/cia,,,
pais,El Salvador, Salvadoreño,,,
pais,Emiratos Árabes Unidos, Emiratí,,,
pais,Eritrea, Eritreo,,,
pais,Eslovaquia, Eslovaco,,,
pais,Eslovenia, Esloveno,,,
pais,España, Español/la,,,
pais,Estados Unidos, Estadounidense,,,
pais,Estonia, Estonio,,,
pais,Etiopía, Etíope,,,
pais,Filipinas, Filipino,,,
pais,Finlandia, Finlandés,,,
pais,Fiyi, Fiyiano,,,
pais,Francia, Francés,,,
pais,Gabón, Gabonés,,,
pais,Gambia, Gambiano,,,
pais,Georgia, Georgiano,,,
pais,Ghana, Ghanés,,,
pais,Granada, Granadino,,,
pais,Grecia, Griego/ga,,,
pais,Guatemala, Guatemalteco,,,
pais,Guinea ecuatorial, Ecuatoguineano,,,
pais,Guinea, Guineano,,,
pais,Guinea-Bisáu, Guineano,,,
pais,Guyana, Guyanés,,,
pais,Haití, Haitiano,,,
pais,Honduras, Hondureño,,,
pais,Hungría, Húngaro,,,
pais,India, Indio/dia Hindú,,,
pais,Indonesia, Indonesio,,,
pais,Irak, Iraquí,,,
pais,Irán, Iraní,,,
pais,Irlanda, Irlandés,,,
pais,Islandia, Islandés,,,
pais,Islas Marshall, Marshalés,,,
pais,Islas Salomón, Salomonense,,,
pais,Israel, Israelí,,,
pais,Italia, Italiano,,,
pais,Jamaica, Jamaicano o Jamaiquino,,,
pais,Japón, Japonés,,,
pais,Jordania, Jordano,,,
pais,Kazajistán, Kazajo,,,
pais,Kenia, Keniano Keniata,,,
pais,Kirguistán, Kirguís Kirguiso,,,
pais,Kiribati, Kiribatiano,,,
pais,Kuwait, Kuwaití,,,
pais,Laos, Laosiano,,,
pais,Lesoto, Lesotense,,,
pais,Letonia, Letón,,,
pais,Líbano, Libanés,,,
pais,Liberia, Liberiano,,,
pais,Libia, Libio,,,
pais,Liechtenstein, liechtensteiniano,,,
pais,Lituania, Lituano,,,
pais,Luxemburgo, Luxemburgués,,,
pais,Madagascar, Malgache,,,
pais,Malasia, Malasio,,,
pais,Malaui, Malauí,,,
pais,Maldivas, Maldivo,,,
pais,Malí, Maliense, Malí,,
pais,Malta, Maltés,,,
pais,Marruecos, Marroquí,,,
pais,Mauricio, Mauriciano,,,
pais,Mauritania, Mauritano,,,
pais,México, Mexicano,,,
pais,Micronesia, Micronesio,,,
pais,Moldavia, Moldavo/va,,,
pais,Mónaco, Monegasco,,,
pais,Mongolia, Mongol/la,,,
pais,Montenegro, Montenegrino,,,
pais,Mozambique, Mozambiqueño,,,
pais,Namibia, Namibio,,,
pais,Nauru, Nauruano,,,
pais,Nepal, Nepalés Nepalí,,,
pais,Nicaragua, Nicaragüense,,,
pais,Níger, Nigerino,,,
pais,Nigeria, Nigeriano ,,,
pais,Noruega, Noruego/ga,,,
pais,Nueva Zelanda, Neozelandés,,,
pais,Omán, Omaní,,,
